Area,Source,Match_1,Match_2,Match_3,Block_Min,Block_Max,Custom_Lat1,Custom_Lon1,Custom_Lat2,Custom_Lon2,Custom_Buffer_M
100 East Ocean View Ave,AAS,Ocean View Ave. from 1st View St to Sherwood Pl,,,,,,,,,
Admiral Taussig Boulevard (Granby Street - East Little Creek Boulevard),AAS,Admiral Taussig Blvd from Granby to E Little Creek,,,,,,,,,
Barraud Park,AAS,Barraud Park,,,,,,,,,
Bay Dunes Drive,Zoning,136989,,,,,,,,,
Bayview Elementary/East Bayview Boulevard,Street,E BAYVIEW BOULEVARD,,,,,,,,,
Beach (21st Bay Street - 30th Bay Street),Zoning,141259,141418,139373,,,,,,,
Beach (Cottage Place Beach - North Beach View),Custom,,,,,,36.946787,-76.238109,36.944983,-76.234851,30.0
Community Beach Park,AAS,Community Beach Park,,,,,,,,,
Curlew Drive (Feeder Road - Light Rail Station),AAS,Corporate Blvd from Curlew Drive till Military Highway,,,,,,,,,
East Ocean View,AAS,E. OV Ave between 10th Bay and 17th Bay,,,,,,,,,
East Ocean View (1300 - 1800 Block),Street,E OCEAN VIEW AVENUE,,,1300,1900,,,,,
East Ocean View (1300 - 1900 Block),Street,E OCEAN VIEW AVENUE,,,1300,1900,,,,,
East Ocean View Rec Center,AAS,Oceanview Rec Center,,,,,,,,,
East Oceanview Community Park,AAS,Oceanview Rec Center,,,,,,,,,
East Princess Anne Road (Park Avenue - Ballentine Boulevard),AAS,Princess Anne - Kenton to Cromwell,,,,,,,,,
Harbor Park (ERT),AAS,ERT Harbor Park to NSU,,,,,,,,,
Lafayette Park & Lavalette Boat Ramp,AAS,Lafayette Park,Lavalette Avenue (both sides of street),,,,,,,,
Lakewood Park,AAS,Lakewood Park,,,,,,,,,
Lamberts Point,AAS,Lambert's Point,,,,,,,,,
Lambert's Point (ODU Service Learning Group),AAS,Lambert's Point,,,,,,,,,
Norfolk Collegiate (Lafayette Park - Boat Ramp),AAS,Lavalette Boat Launch and Fishing Pier,,,,,,,,,
Ocean View Beach Park,AAS,Ocean View Beach (120 W. Ocean View Dr.),,,,,,,,,
Ocean View Park,AAS,Ocean View Beach (120 W. Ocean View Dr.),,,,,,,,,
Oceanview Park (4th - 9th Street),AAS,Ocean View Beach (120 W. Ocean View Dr.),,,,,,,,,
Oceanview Pier,AAS,OV Fishing Pier and Sarah Constant Park,,,,,,,,,
ODU/Lamberts Point,AAS,Lambert's Point,,,,,,,,,
Old Dominion University,AAS,"43rd, 42nd, 41st Street at ODU",,,,,,,,,
Plum Point Park,AAS,Plum Point Park,,,,,,,,,
Sarah Constant Beach Park,AAS,Sarah Constant Beach Park,,,,,,,,,
SPOT- Military Gardens,None,,,,,,,,,,
The Academy Of International Studies At Rosemont,AAS,West Tanners Creek Dr from Johnstons Rd to Longdale Rd,,,,,,,,,
The Hague,AAS,The Hague,,,,,,,,,
Tidewater (Little Creek - Bayview),AAS,Tidewater From Little Creek to Bayview,,,,,,,,,
Town Point Park/ Nauticus,Zoning,141817,,,,,,,,,
Wetland (Poppe and Somee),None,,,,,,,,,,
Willoughby Spit,Zoning,193355,,,,,,,,,
